source_model,target_model,format,gap,retention_pct,auc,transfer_type
Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,direct,58.06787109375,100.0,1.0,within-model
Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,json,9.171442222595214,15.794349008917532,1.0,within-model
Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,tool_call,2.5680908203124995,4.42256754370475,1.0,within-model
Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,system,1.4408203124999999,2.4812693928003835,0.995,within-model
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,direct,80.581787109375,100.0,0.9974999999999999,within-model
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,json,21.56298828125,26.759133862323253,1.0,within-model
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,tool_call,1.3928085327148436,1.7284408582603925,0.9974999999999999,within-model
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,system,1.7252513885498046,2.1409942003496303,0.9825,within-model
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,direct,9.494454956054687,100.0,1.0,within-model
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,json,0.4084960937500002,4.3024701853948875,0.9349999999999999,within-model
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,tool_call,0.04262695312500009,0.44896682666145626,0.6737500000000001,within-model
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,system,2.538529968261719,26.736974160300576,0.9974999999999999,within-model
Phi-2,Phi-2,direct,49.22,100.0,1.0,within-model
Phi-2,Phi-2,json,4.4,8.94,0.995,within-model
Phi-2,Phi-2,tool_call,2.773,5.633,1.0,within-model
Phi-2,Phi-2,system,21.05,42.78,1.0,within-model
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,direct,80.581787109375,100.0,0.9974999999999999,own-direction
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,json,21.56298828125,26.759133862323253,1.0,own-direction
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,tool_call,1.3928085327148436,1.7284408582603925,0.9974999999999999,own-direction
Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,system,1.7252513885498046,2.1409942003496303,0.9825,own-direction
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,direct,9.494454956054687,100.0,1.0,own-direction
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,json,0.4084960937500002,4.3024701853948875,0.9349999999999999,own-direction
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,tool_call,0.04262695312500009,0.44896682666145626,0.6737500000000001,own-direction
TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,system,2.538529968261719,26.736974160300576,0.9974999999999999,own-direction
Phi-2,Phi-2,direct,49.22,100.0,1.0,own-direction
Phi-2,Phi-2,json,4.4,8.94,0.995,own-direction
Phi-2,Phi-2,tool_call,2.773,5.633,1.0,own-direction
Phi-2,Phi-2,system,21.05,42.78,1.0,own-direction
